category,volume,end_date,start_date,question,slug,id
02-Fed-chair,26000156,2026-12-31,2025-08-05,Will Trump nominate Michelle Bowman as the next Fed chair?,will-trump-nominate-michelle-bowman-as-the-next-fed-chair,572486
02-Fed-chair,24537484,2026-12-31,2025-08-05,Will Trump nominate Bill Pulte as the next Fed chair?,will-trump-nominate-bill-pulte-as-the-next-fed-chair,572472
02-Fed-chair,23577646,2026-12-31,2025-08-05,Will Trump nominate himself as the next Fed chair?,will-trump-nominate-himself-as-the-next-fed-chair,572494
02-Fed-chair,22847634,2026-12-31,2025-08-05,Will Trump nominate Stephen Miran as the next Fed chair?,will-trump-nominate-stephen-miran-as-the-next-fed-chair,572480
02-Fed-chair,21325692,2026-12-31,2025-08-05,Will Trump nominate Janet Yellen as the next Fed chair?,will-trump-nominate-individual-j-as-the-next-fed-chair,572489
02-Fed-chair,21154894,2026-12-31,2025-08-05,Will Trump nominate Arthur Laffer as the next Fed chair?,will-trump-nominate-arthur-laffer-as-the-next-fed-chair,572476
02-Fed-chair,20907360,2026-12-31,2025-08-05,Will Trump nominate Barron Trump as the next Fed chair?,will-trump-nominate-barron-trump-as-the-next-fed-chair,572492
02-Fed-chair,17922566,2026-12-31,2025-08-05,Will Trump nominate David Zervos as the next Fed chair?,will-trump-nominate-david-zervos-as-the-next-fed-chair,572484
02-Fed-chair,16022031,2026-10-31,2026-03-04,Will Judy Shelton be confirmed as Fed Chair?,will-judy-shelton-be-confirmed-as-fed-chair,1500755
02-Fed-chair,12652617,2026-12-31,2025-08-05,Will Trump nominate Ron Paul as the next Fed chair?,will-trump-nominate-ron-paul-as-the-next-fed-chair,572479
02-Fed-chair,11698325,2026-10-31,2026-03-04,Will Kevin Warsh be confirmed as Fed Chair?,will-kevin-warsh-be-confirmed-as-fed-chair,1500754
02-Fed-chair,10813098,2026-12-31,2025-08-05,Will Trump nominate Philip Jefferson as the next Fed chair?,will-trump-nominate-philip-jefferson-as-the-next-fed-chair,572488
02-Fed-chair,10383485,2026-12-31,2025-08-05,Will Trump nominate Larry Kudlow as the next Fed chair?,will-trump-nominate-larry-kudlow-as-the-next-fed-chair,572477
02-Fed-chair,6336304,2026-12-31,2025-08-05,Will Trump nominate David Malpass as the next Fed chair?,will-trump-nominate-david-malpass-as-the-next-fed-chair,572474
02-Fed-chair,6059959,2026-12-31,2025-08-05,Will Trump nominate Larry Lindsey as the next Fed chair?,will-trump-nominate-larry-lindsey-as-the-next-fed-chair,572491
02-Fed-chair,4328814,2026-12-31,2025-08-05,Will Trump nominate Marc Sumerlin as the next Fed chair?,will-trump-nominate-marc-sumerlin-as-the-next-fed-chair,572483
02-Fed-chair,4292896,2026-10-31,2026-03-04,Will Scott Bessent be confirmed as Fed Chair?,will-scott-bessent-be-confirmed-as-fed-chair,1500768
02-Fed-chair,2734623,2026-10-31,2026-03-04,Will Michelle Bowman be confirmed as Fed Chair?,will-michelle-bowman-be-confirmed-as-fed-chair,1500770
02-Fed-chair,1787945,2026-10-31,2026-03-04,Will Rick Reider be confirmed as Fed Chair?,will-rick-reider-be-confirmed-as-fed-chair,1500804
02-Fed-chair,1717476,2026-10-31,2026-03-04,Will Jerome Powell be confirmed as Fed Chair?,will-jerome-powell-be-confirmed-as-fed-chair,1500766
02-Fed-chair,1680497,2026-10-31,2026-03-04,Will Kevin Hassett be confirmed as Fed Chair?,will-kevin-hassett-be-confirmed-as-fed-chair,1500756
02-Fed-chair,1679375,2026-10-31,2026-03-04,Will Christopher Waller be confirmed as Fed Chair?,will-christopher-waller-be-confirmed-as-fed-chair,1500757
03-Iran,131114970,2026-02-28,2026-01-14,Khamenei out as Supreme Leader of Iran by February 28?,khamenei-out-as-supreme-leader-of-iran-by-february-28,1180303
03-Iran,89652867,2026-01-31,2026-01-19,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,1198423
03-Iran,73927762,2026-03-31,2026-01-11,US forces enter Iran by March 31?,us-forces-enter-iran-by-march-31-222-191-243-517-878-439-519,1162940
03-Iran,63238697,2026-03-31,2025-12-12,Khamenei out as Supreme Leader of Iran by March 31?,khamenei-out-as-supreme-leader-of-iran-by-march-31,916732
03-Iran,63229537,2026-03-31,2025-12-17,Will the Iranian regime fall by March 31?,will-the-iranian-regime-fall-by-march-31,958442
03-Iran,49748804,2026-01-31,2026-01-04,Khamenei out as Supreme Leader of Iran by January 31?,khamenei-out-as-supreme-leader-of-iran-by-january-31,1106713
03-Iran,46405632,2026-04-30,2026-03-05,Will the Iranian regime fall by April 30?,will-the-iranian-regime-fall-by-april-30,1507751
03-Iran,41754060,2026-01-31,2026-01-03,"US strikes Iran by January 31, 2026?",us-strikes-iran-by-january-31-2026-165,1092199
03-Iran,34076576,2026-06-30,2025-12-17,Will the Iranian regime fall by June 30?,will-the-iranian-regime-fall-by-june-30,958443
03-Iran,25087849,2026-01-31,2026-02-16,"US strikes Iran by February 27, 2026?",us-strikes-iran-by-february-27-2026,1386664
03-Iran,24621548,2026-04-15,2026-03-12,US x Iran ceasefire by April 15?,us-x-iran-ceasefire-by-april-15,1569627
03-Iran,22688333,2026-02-13,2026-02-03,"US x Iran meeting by February 6, 2026?",us-x-iran-meeting-by-february-6-2026,1328039
03-Iran,22213247,2026-06-30,2025-12-22,"US strikes Iran by March 31, 2026?",us-strikes-iran-by-march-31-2026-393-881-954,984441
03-Iran,21995506,2026-12-31,2026-02-18,US forces enter Iran by December 31?,us-forces-enter-iran-by-december-31-573-642-385-371-179-425-262,1394299
03-Iran,18810054,2026-01-31,2026-02-02,"US strikes Iran by February 20, 2026?",us-strikes-iran-by-february-20-2026-151-468-624-297-614-778-872-127-349-448-499-337-826-553,1320793
03-Iran,17923098,2026-12-31,2025-11-05,Will the U.S. invade Iran before 2027?,will-the-us-invade-iran-before-2027,665374
03-Iran,17561112,2026-01-31,2026-02-04,"US strikes Iran by February 9, 2026?",us-strikes-iran-by-february-9-2026-113-751,1335520
03-Iran,17450416,2026-04-15,2026-03-12,Iran x Israel/US conflict ends by April 15?,iran-x-israelus-conflict-ends-by-april-15-618-586-982,1567746
03-Iran,16942273,2026-01-31,2026-02-16,"US strikes Iran by February 24, 2026?",us-strikes-iran-by-february-24-2026,1386659
03-Iran,16913391,2026-01-31,2025-12-22,"Israel strikes Iran by January 31, 2026?",israel-strikes-iran-by-january-31-2026-894-994-453,994900
03-Iran,16832123,2026-07-20,2025-07-02,Will Iran win the 2026 FIFA World Cup?,will-iran-win-the-2026-fifa-world-cup-788,558959
03-Iran,15986976,2026-12-31,2025-11-03,Will the Iranian regime fall before 2027?,will-the-iranian-regime-fall-by-the-end-of-2026,663583
03-Iran,15146244,2026-01-31,2026-01-26,"US strikes Iran by February 13, 2026?",us-strikes-iran-by-february-13-2026-721-759-497-124-197-797-992-641-418-789-676-262-791-574-169-647-275-931,1273610
03-Iran,14489547,2026-01-31,2026-02-16,"US strikes Iran by February 26, 2026?",us-strikes-iran-by-february-26-2026-368,1386662
03-Iran,14022418,2026-01-31,2026-02-16,"US strikes Iran by February 23, 2026?",us-strikes-iran-by-february-23-2026-678-563,1386657
03-Iran,13670502,2026-05-15,2026-03-02,Iran x Israel/US conflict ends by May 15?,iran-x-israelus-conflict-ends-by-may-15-562-372-916-721-496,1484914
03-Iran,13619741,2026-01-14,2026-01-13,"US strikes Iran by January 14, 2026?",us-strikes-iran-by-january-14-2026-913,1175504
03-Iran,12611170,2026-01-31,2026-02-16,"US strikes Iran by February 22, 2026?",us-strikes-iran-by-february-22-2026,1386656
03-Iran,12296618,2026-01-31,2026-01-12,"US strikes Iran by January 23, 2026?",us-strikes-iran-by-january-23-2026-494-711-798-734-155,1168862
03-Iran,12250012,2026-01-31,2026-02-16,"US strikes Iran by February 21, 2026?",us-strikes-iran-by-february-21-2026,1386650
03-Iran,11825309,2026-01-31,2026-01-05,Will the Iranian regime fall by January 31?,will-the-iranian-regime-fall-by-january-31,1111834
03-Iran,10517388,2026-01-31,2026-02-16,"US strikes Iran by February 25, 2026?",us-strikes-iran-by-february-25-2026,1386661
03-Iran,10496936,2026-01-31,2026-02-09,"US strikes Iran by February 10, 2026?",us-strikes-iran-by-february-10-2026,1360603
03-Iran,9750255,2026-01-31,2026-01-26,"US strikes Iran by February 6, 2026?",us-strikes-iran-by-february-6-2026-242-933-289-312-673-611-155-294,1273609
03-Iran,9193272,2026-06-30,2025-12-22,"US strikes Iran by June 30, 2026?",us-strikes-iran-by-june-30-2026-699-664-723-485-753-218-567-164-387-443-377-384-159-973-494-631-694-956-361-443-224-518-537-678-486-386-275-153-976-862-149-897-221-522-378-575-993-365-444-965-488-963-698-313-696-829-887-721-211-322-726-411-231-474-417-867,984442
03-Iran,8798852,2026-01-31,2026-02-11,"US strikes Iran by February 19, 2026?",us-strikes-iran-by-february-19-2026-992,1367169
03-Iran,8547233,2026-03-31,2026-01-19,Will Reza Pahlavi enter Iran by March 31?,will-reza-pahlavi-enter-iran-by-march-31-282,1198709
03-Iran,8491722,2026-01-31,2026-01-11,"US strikes Iran by January 16, 2026?",us-strikes-iran-by-january-16-2026-498,1157513
03-Iran,8397429,2026-04-30,2026-03-06,Trump announces end of military operations against Iran by April 30th?,trump-announces-end-of-military-operations-against-iran-by-april-30th-753-882-164-769-641-926-643,1517835
03-Iran,8216307,2026-06-30,2025-11-03,Khamenei out as Supreme Leader of Iran by June 30?,khamenei-out-as-supreme-leader-of-iran-by-june-30-747,661699
03-Iran,8093538,2026-06-30,2026-02-19,"US strikes Iran by March 1, 2026?",us-strikes-iran-by-march-1-2026-492,1399042
03-Iran,7975001,2026-01-15,2026-01-13,"US strikes Iran by January 15, 2026?",us-strikes-iran-by-january-15-2026-652-612,1175524
03-Iran,7793716,2026-05-31,2026-03-02,US x Iran ceasefire by May 31?,us-x-iran-ceasefire-by-may-825,1484894
03-Iran,7408762,2026-01-31,2026-02-11,"US strikes Iran by February 18, 2026?",us-strikes-iran-by-february-18-2026,1367168
03-Iran,6908537,2026-01-31,2026-01-21,"US strikes Iran by January 26, 2026?",us-strikes-iran-by-january-26-2026-337-214-511,1236230
03-Iran,6642886,2026-06-30,2026-02-11,"US strikes Iran by March 15, 2026?",us-strikes-iran-by-march-15-2026-176-537-334-314-311-563-139-841-296-929-674-361-128-125-587-277-713-864-314-272-772-416-338-683-554-682-743-939-378-887-219-419-692-473-532-837-119-848-847-469,1367195
03-Iran,6629658,2026-02-01,2026-01-29,"US strikes Iran by February 1, 2026?",us-strikes-iran-by-february-1-2026,1294616
03-Iran,6455319,2026-12-31,2026-01-08,"Will US or Israel strike Iran by January 31, 2026?",will-us-or-israel-strike-iran-by-january-31-2026,1139942
03-Iran,5872191,2026-06-30,2026-03-02,Iran x Israel/US conflict ends by June 30?,iran-x-israelus-conflict-ends-by-june-30-813-454-138-725,1484915
03-Iran,5854949,2026-12-31,2026-01-16,"Will US or Israel strike Iran by February 28, 2026?",will-us-or-israel-strike-iran-by-february-28-2026-766,1198479
03-Iran,5837356,2026-02-28,2026-01-27,"Will the US next strike Iran on February 28, 2026 (ET)?",will-the-us-next-strike-iran-on-february-28-2026-et,1273937
03-Iran,5780137,2026-04-30,2026-03-12,Iran x Israel/US conflict ends by April 30?,iran-x-israelus-conflict-ends-by-april-30-766-662-668-546,1567747
03-Iran,5665699,2026-03-31,2026-02-18,Will the U.S. invade Iran by March 31?,will-the-us-invade-iran-by-march-31,1394368
03-Iran,5599406,2026-01-31,2026-02-11,"US strikes Iran by February 17, 2026?",us-strikes-iran-by-february-17-2026-833,1367167
03-Iran,5478819,2026-12-31,2025-11-05,Will Iran close the Strait of Hormuz before 2027?,will-iran-close-the-strait-of-hormuz-by-2027-969-911-654-431-667,665307
03-Iran,5468912,2026-01-18,2026-01-13,"US strikes Iran by January 18, 2026?",us-strikes-iran-by-january-18-2026-991,1175548
03-Iran,5173901,2026-03-31,2026-02-28,Trump announces end of military operations against Iran by March 31st?,trump-announces-end-of-military-operations-against-iran-by-march-31st,1466575
03-Iran,5162924,2026-03-31,2026-02-28,Iran x Israel/US conflict ends by March 31?,iran-x-israelus-conflict-ends-by-march-31,1466150
03-Iran,5033124,2026-06-30,2026-03-02,US x Iran ceasefire by June 30?,us-x-iran-ceasefire-by-june-30,1484895
03-Iran,5031421,2026-02-28,2026-01-29,Will Israel or the US target an Iranian nuclear facility?,will-israel-or-the-us-target-an-iranian-nuclear-facility-276,1288111
03-Iran,5006328,2026-02-28,2026-01-12,Iran Strike on Israel by February 28?,iran-strike-on-israel-by-february-28,1169205
03-Iran,4959389,2026-01-31,2026-01-07,Israel nuclear weapon use against Iran by January 31?,will-israel-nuke-iran-by-january-31,1131899
03-Iran,4954916,2026-03-31,2026-02-16,"France, UK, or Germany military action against Iran by March 31?",will-france-uk-or-germany-strike-iran-by-march-31-929,1385748
03-Iran,4855989,2026-01-31,2026-02-11,"US strikes Iran by February 16, 2026?",us-strikes-iran-by-february-16-2026-732-528,1367166
03-Iran,4606547,2026-12-31,2025-11-03,Khamenei out as Supreme Leader of Iran in 2026?,khamenei-out-as-supreme-leader-of-iran-by-december-31-2026,661700
03-Iran,4604644,2026-02-28,2026-01-27,"Will the US next strike Iran on February 27, 2026 (ET)?",will-the-us-next-strike-iran-on-february-27-2026-et,1273936
03-Iran,4560789,2026-04-30,2026-03-09,Iran leadership change by April 30?,iran-leadership-change-by-april-30,1535972
03-Iran,4551157,2026-03-31,2026-01-12,"Will the US officially declare war on Iran by March 31, 2026?",will-the-us-officially-declare-war-on-iran-by-march-31-2026,1170143
03-Iran,4542348,2026-01-31,2026-02-11,"US strikes Iran by February 15, 2026?",us-strikes-iran-by-february-15-2026,1367165
03-Iran,4493523,2026-01-31,2026-02-09,"US strikes Iran by February 11, 2026?",us-strikes-iran-by-february-11-2026-664,1360604
03-Iran,4461531,2026-02-05,2026-01-29,"US strikes Iran by February 5, 2026?",us-strikes-iran-by-february-5-2026,1294628
03-Iran,3454656,2026-06-30,2026-01-03,Will Reza Pahlavi enter Iran by June 30?,will-reza-pahlavi-enter-iran-by-june-30-555-947-362-379-213,1090199
03-Iran,2545387,2026-06-30,2026-03-06,Trump announces end of military operations against Iran by June 30th?,trump-announces-end-of-military-operations-against-iran-by-june-30th-566-326-653-781-167-426-752-225-438,1517836
03-Iran,2414815,2026-04-30,2026-03-09,US-Iran nuclear deal by April 30?,us-iran-nuclear-deal-by-april-30,1543487
03-Iran,1958930,2026-12-31,2026-03-09,Iran leadership change by December 31?,iran-leadership-change-by-december-31-974-976-658-482-568,1535973
03-Iran,1785713,2026-04-30,2026-03-06,Iran agrees to end enrichment of uranium by April 30?,iran-agrees-to-end-enrichment-of-uranium-by-april-30,1515492
03-Iran,1682862,2026-12-31,2026-03-01,Will Mojtaba Khamenei be head of state in Iran end of 2026?,will-mojtaba-khamenei-be-head-of-state-in-iran-end-of-2026,1469737
04-Russia-Ukraine,26995077,2026-01-31,2025-11-26,"Russia x Ukraine ceasefire by January 31, 2026?",russia-x-ukraine-ceasefire-by-january-31-2026,704339
04-Russia-Ukraine,14502613,2026-12-31,2025-07-24,Russia x Ukraine ceasefire by end of 2026?,russia-x-ukraine-ceasefire-before-2027,567687
04-Russia-Ukraine,11617612,2026-02-17,2026-02-04,Will BV Borussia 09 Dortmund win on 2026-02-17?,ucl-bvb1-ata1-2026-02-17-bvb1,1335034
04-Russia-Ukraine,8967572,2026-04-30,2026-02-26,"Russia x Ukraine ceasefire by April 30, 2026?",russia-x-ukraine-ceasefire-by-april-30-2026,1439560
04-Russia-Ukraine,7456315,2026-01-31,2025-12-12,Will Trump talk to Vladimir Putin in January?,will-trump-talk-to-vladimir-putin-in-january,920389
04-Russia-Ukraine,6968929,2026-02-28,2026-01-22,"Russia x Ukraine ceasefire by February 28, 2026?",russia-x-ukraine-ceasefire-by-february-28-2026,1243248
04-Russia-Ukraine,6659070,2026-06-30,2026-01-13,"Russia x Ukraine ceasefire by June 30, 2026?",russia-x-ukraine-ceasefire-by-june-30-2026,1171663
04-Russia-Ukraine,4270273,2026-12-31,2025-07-06,"Putin out as President of Russia by December 31, 2026?",putin-out-before-2027,560317
04-Russia-Ukraine,2168038,2026-09-30,2026-01-07,Will the Liberal Democratic Party of Russia (LDPR) gain the most seats in the next Russian parliamentary election?,will-the-liberal-democratic-party-of-russia-ldpr-gain-the-most-seats-in-the-next-russian-parliamentary-election,1130015
04-Russia-Ukraine,2145269,2026-12-31,2025-07-24,Zelenskyy out as Ukraine president by end of 2026?,zelenskyy-out-as-ukraine-president-before-2027,567689
04-Russia-Ukraine,1872211,2026-05-16,2025-12-06,Will Ukraine win Eurovision 2026?,will-ukraine-win-eurovision-2026,842036
04-Russia-Ukraine,1638444,2026-09-30,2026-01-07,Will United Russia (ER) gain the most seats in the next Russian parliamentary election?,will-united-russia-er-gain-the-most-seats-in-the-next-russian-parliamentary-election,1130012
04-Russia-Ukraine,1620460,2026-07-31,2025-05-02,Russia-Ukraine Ceasefire before GTA VI?,russia-ukraine-ceasefire-before-gta-vi-554,540816
05-Tariffs,4760539,2026-12-31,2025-09-02,Supreme Court rules in favor of Trump's tariffs?,will-the-supreme-court-rule-in-favor-of-trumps-tariffs,586301
06-Israel-Gaza,2020386,2026-05-16,2025-12-06,Will Israel win Eurovision 2026?,will-israel-win-eurovision-2026,842020
06-Israel-Gaza,1907545,2026-12-31,2025-11-13,Will Israel strike 3 countries in 2026?,will-israel-strike-3-countries-in-2026,678746
07-China,23356220,2026-12-31,2025-07-24,Will China invade Taiwan by end of 2026?,will-china-invade-taiwan-before-2027,567621
07-China,12560430,2026-04-30,2025-11-26,Will Trump visit China by April 30?,will-trump-visit-china-by-april-30,706279
07-China,12358578,2026-03-31,2026-03-01,Will Trump talk to Xi Jinping in March?,will-trump-talk-to-xi-jinping-in-march-165,1455604
07-China,10607442,2026-03-31,2025-11-24,"Will China invade Taiwan by March 31, 2026?",will-china-invade-taiwan-by-march-31-2026,701290
07-China,6728513,2026-06-30,2025-12-17,"Will China invade Taiwan by June 30, 2026?",will-china-invade-taiwan-by-june-30-2026,956590
07-China,1802776,2026-07-31,2025-05-02,Will China invades Taiwan before GTA VI?,will-china-invades-taiwan-before-gta-vi-716,540843
07-China,1706935,2026-12-31,2025-11-13,China x Taiwan military clash before 2027?,china-x-taiwan-military-clash-before-2027,677407
08-Territorial-Mexico,32829316,2026-12-31,2025-12-23,Will Trump acquire Greenland before 2027?,will-trump-acquire-greenland-before-2027,997488
08-Territorial-Mexico,30194309,2026-01-31,2026-01-09,U.S. anti-cartel ground operation in Mexico by January 31?,us-anti-cartel-ground-operation-in-mexico-by-january-31,1144023
08-Territorial-Mexico,16151212,2026-07-20,2025-07-02,Will Canada win the 2026 FIFA World Cup?,will-canada-win-the-2026-fifa-world-cup-755,558952
08-Territorial-Mexico,15611726,2026-07-20,2025-07-02,Will Mexico win the 2026 FIFA World Cup?,will-mexico-win-the-2026-fifa-world-cup-529,558945
08-Territorial-Mexico,9667950,2026-12-31,2026-01-07,Will the US acquire part of Greenland in 2026?,will-the-us-acquire-any-part-of-greenland-in-2026,1126504
08-Territorial-Mexico,6878892,2026-07-20,2025-07-02,Will Panama win the 2026 FIFA World Cup?,will-team-z-win-the-2026-fifa-world-cup-316,558979
10-Crypto,28829221,2026-03-01,2026-01-31,"Will Bitcoin reach $150,000 in February?",will-bitcoin-reach-150k-in-february-2026,1303355
10-Crypto,26660909,2026-02-01,2026-01-01,"Will Bitcoin reach $150,000 in January?",will-bitcoin-reach-150k-in-january-2026,1082748
10-Crypto,24149352,2026-04-01,2026-03-01,"Will Bitcoin reach $150,000 in March?",will-bitcoin-reach-150k-in-march-2026,1473040
10-Crypto,15734008,2026-07-01,2025-08-07,"Will Bitcoin hit $150k by June 30, 2026?",will-bitcoin-hit-150k-by-june-30-2026,573655
10-Crypto,13025594,2026-02-01,2026-01-01,"Will Bitcoin reach $100,000 in January?",will-bitcoin-reach-100k-in-january-2026,1082781
10-Crypto,10122349,2026-04-01,2026-03-01,"Will Bitcoin dip to $65,000 in March?",will-bitcoin-dip-to-65k-in-march-2026,1473072
10-Crypto,8681375,2026-04-01,2026-03-01,"Will Bitcoin reach $80,000 in March?",will-bitcoin-reach-80k-in-march-2026,1473066
10-Crypto,8583813,2026-02-01,2026-01-01,"Will Bitcoin dip to $85,000 in January?",will-bitcoin-dip-to-85k-in-january-2026,1082793
10-Crypto,7913769,2026-03-01,2026-02-06,"Will Bitcoin reach $75,000 in February?",will-bitcoin-reach-75000-in-february-858-936,1345641
10-Crypto,7551511,2026-03-01,2026-01-31,"Will Bitcoin reach $85,000 in February?",will-bitcoin-reach-85k-in-february-2026,1303384
10-Crypto,7334705,2026-04-01,2026-03-01,"Will Bitcoin dip to $60,000 in March?",will-bitcoin-dip-to-60k-in-march-2026,1473074
10-Crypto,7296072,2026-03-01,2026-01-31,"Will Bitcoin dip to $55,000 in February?",will-bitcoin-dip-to-55k-in-february-2026-644-513-935,1303400
10-Crypto,7282065,2026-03-01,2026-02-06,"Will Bitcoin dip to $60,000 in February?",will-bitcoin-dip-to-60000-in-february-694,1345690
10-Crypto,7080988,2026-02-01,2026-01-01,"Will Bitcoin reach $125,000 in January?",will-bitcoin-reach-125k-in-january-2026,1082757
10-Crypto,6931678,2026-02-01,2026-01-01,"Will Bitcoin reach $105,000 in January?",will-bitcoin-reach-105k-in-january-2026,1082777
10-Crypto,6752276,2026-02-01,2026-01-01,"Will Bitcoin dip to $80,000 in January?",will-bitcoin-dip-to-80k-in-january-2026,1082796
10-Crypto,6531627,2026-04-01,2026-03-01,"Will Bitcoin dip to $55,000 in March?",will-bitcoin-dip-to-55k-in-march-2026,1473075
10-Crypto,5848826,2026-02-01,2026-01-01,"Will Bitcoin reach $110,000 in January?",will-bitcoin-reach-110k-in-january-2026,1082772
10-Crypto,5541582,2026-03-01,2026-01-31,"Will Bitcoin dip to $50,000 in February?",will-bitcoin-dip-to-50k-in-february-2026-273-489-988,1303403
10-Crypto,5327306,2026-04-01,2026-03-01,"Will Bitcoin reach $90,000 in March?",will-bitcoin-reach-90k-in-march-2026,1473060
10-Crypto,5040901,2026-02-01,2026-01-01,"Will Bitcoin dip to $75,000 in January?",will-bitcoin-dip-to-75k-in-january-2026,1082801
10-Crypto,4846182,2027-01-01,2025-12-29,"Will Bitcoin reach $250,000 by December 31, 2026?",will-bitcoin-reach-250000-by-december-31-2026-579-442,1057883
10-Crypto,4835100,2026-03-01,2026-01-31,"Will Bitcoin reach $90,000 in February?",will-bitcoin-reach-90k-in-february-2026,1303381
10-Crypto,4831697,2026-03-01,2026-02-06,"Will Bitcoin reach $80,000 in February?",will-bitcoin-reach-80000-in-february-298,1345680
10-Crypto,4676220,2026-04-01,2026-03-01,"Will Bitcoin reach $100,000 in March?",will-bitcoin-reach-100k-in-march-2026,1473053
